,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,407337,17087,4,6116,0.9603037087963135,0.9993464052287582,0.41714694949357156
1,SVM,424049,375,1,6119,0.9991266862388049,0.9998366013071895,0.9701918503250356
2,Gradient Boosting Classifier,424136,288,108,6012,0.9990802333791668,0.9823529411764705,0.9681159420289855
